id,sig_id,pert_id,pert_iname,pert_desc,cell_id,pert_time,pert_dose,pert_type,is_gold,DrugBank.ID,CAS,CID,Drug_Name,Drug_Description,Drug_Group,Drug_Indication,ATC_Codes,A,B,C,D,G,H,J,L,M,N,P,R,S,V,DrugBank.ID.1,SMILES
9,CPC004_A375_6H:BRD-K79131256-001-08-8:10,BRD-K79131256,albendazole,ALBENDAZOLE,A375,6,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
1855,CPC004_HA1E_6H:BRD-K79131256-001-08-8:10,BRD-K79131256,albendazole,ALBENDAZOLE,HA1E,6,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
3678,CPC004_HA1E_24H:BRD-K79131256-001-08-8:10,BRD-K79131256,albendazole,ALBENDAZOLE,HA1E,24,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
7298,CPC004_HCC515_24H:BRD-K79131256-001-08-8:10,BRD-K79131256,albendazole,ALBENDAZOLE,HCC515,24,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
8728,CPC004_HEPG2_6H:BRD-K79131256-001-08-8:10,BRD-K79131256,albendazole,ALBENDAZOLE,HEPG2,6,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
11111,CPC004_PC3_6H:BRD-K79131256-001-08-8:10,BRD-K79131256,albendazole,ALBENDAZOLE,PC3,6,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
12656,CPC004_PC3_24H:BRD-K79131256-001-08-8:10,BRD-K79131256,albendazole,ALBENDAZOLE,PC3,24,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
72780,CPC015_A549_6H:BRD-K79131256-001-08-8:10,BRD-K79131256,albendazole,-666,A549,6,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
73856,CPC015_A549_24H:BRD-K79131256-001-08-8:10,BRD-K79131256,albendazole,-666,A549,24,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
80799,CPC015_MCF7_24H:BRD-K79131256-001-08-8:10,BRD-K79131256,albendazole,-666,MCF7,24,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
